timestamp,image,strawberry_idx,manual_angle_deg,manual_p1_x,manual_p1_y,manual_p2_x,manual_p2_y,yolo_kp0_kp1_angle_deg,yolo_kp0_kp1_angle_diff_deg,yolo_kp0_p1_x,yolo_kp0_p1_y,yolo_kp0_p2_x,yolo_kp0_p2_y,yolo_kp0_kp1_confidence,yolo_kp1_kp2_angle_deg,yolo_kp1_kp2_angle_diff_deg,yolo_kp1_p1_x,yolo_kp1_p1_y,yolo_kp1_p2_x,yolo_kp1_p2_y,yolo_kp1_kp2_confidence
2025-08-23T00:43:46,0.png,0,350.537678,670,421,661,367,352.746805,2.209128,671,488,664,433,1.000,355.426079,4.888401,664,433,660,383,1.000
2025-08-23T00:46:00,10.png,0,343.610460,453,511,438,460,339.717441,3.893019,463,573,446,527,1.000,342.525226,1.085234,446,527,429,473,1.000
2025-08-23T00:46:13,10.png,1,354.382419,627,414,621,353,7.969610,13.587191,615,474,622,424,1.000,5.946863,11.564444,622,424,627,376,1.000
2025-08-23T00:46:25,11.png,0,353.290163,704,364,698,313,352.746805,0.543358,713,424,706,369,1.000,354.805571,1.515408,706,369,703,336,1.000
2025-08-23T00:46:39,12.png,0,347.774877,848,401,835,341,348.690068,0.915190,868,463,856,403,1.000,348.023868,0.248990,856,403,849,370,0.999
2025-08-23T00:46:46,13.png,0,350.362462,1139,90,1130,37,355.683972,5.321511,1140,149,1136,96,1.000,357.137595,6.775133,1136,96,1134,56,1.000
2025-08-23T00:47:09,13.png,0,344.845932,1141,84,1128,36,355.683972,10.838041,1140,149,1136,96,1.000,357.137595,12.291663,1136,96,1134,56,1.000
2025-08-23T00:47:19,13.png,1,341.565051,1100,185,1088,149,344.219247,2.654196,1112,242,1099,196,0.998,345.529706,3.964655,1099,196,1091,165,0.997
2025-08-23T00:47:29,13.png,2,349.992020,422,450,416,416,8.880659,18.888639,416,491,421,459,0.997,6.842773,16.850753,421,459,424,434,0.999
2025-08-23T00:47:38,14.png,0,6.241914,980,166,987,102,326.488981,39.752933,1013,268,964,194,1.000,323.972627,42.269288,964,194,932,150,0.999
2025-08-23T00:48:15,23.png,0,357.990446,1004,418,1002,361,352.405357,5.585090,1017,481,1009,421,1.000,351.253838,6.736608,1009,421,1001,369,1.000
2025-08-23T00:48:25,23.png,2,350.362462,833,318,824,265,339.590117,10.772345,847,375,831,332,1.000,339.676863,10.685599,831,332,821,305,0.999
2025-08-23T00:48:43,23.png,3,1.101706,838,413,839,361,6.483074,5.381368,836,464,841,420,0.998,7.125016,6.023310,841,420,843,404,0.997
2025-08-23T00:48:50,3.png,0,2.960936,796,380,799,322,6.340192,3.379256,780,454,787,391,1.000,3.179830,0.218894,787,391,790,337,1.000
2025-08-23T00:49:06,9.png,1,346.293039,512,539,502,498,347.828542,1.535503,521,602,510,551,1.000,351.469234,5.176195,510,551,504,511,1.000
